t,m,f,o
Agriculture,2012/12/1,1720.2,1
Agriculture,2013/1/1,1861,2
Agriculture,2013/2/1,1606.4,3
Agriculture,2013/3/1,2486.4,4
Agriculture,2013/4/1,2547.5,5
Agriculture,2013/5/1,2602.3,6
Agriculture,2013/6/1,1929.2,7
Agriculture,2013/7/1,1384.4,8
Agriculture,2013/8/1,1342.4,9
Agriculture,2013/9/1,1444.9,10
Agriculture,2013/10/1,1643.1,11
Agriculture,2013/11/1,1865.7,12
Agriculture,2013/12/1,1759.9,13
Agriculture,2014/1/1,1761.1,14
Agriculture,2014/2/1,2058.2,15
Agriculture,2014/3/1,1311.6,16
Agriculture,2014/4/1,1782.1,17
Agriculture,2014/5/1,1199.7,18
Agriculture,2014/6/1,1139.1,19
Agriculture,2014/7/1,1144.4,20
Agriculture,2014/8/1,951.5,21
Agriculture,2014/9/1,834.7,22
Agriculture,2014/10/1,1867.6,23
Agriculture,2014/11/1,1858.9,24
Agriculture,2014/12/1,1718.3,25
Agriculture,2015/1/1,1277.3,26
Agriculture,2015/2/1,1197,27
Agriculture,2015/3/1,811.5,28
Agriculture,2015/4/1,1363.2,29
Agriculture,2015/5/1,1082.4,30
Agriculture,2015/6/1,1035.6,31
Agriculture,2015/7/1,1047.3,32
Agriculture,2015/8/1,1155.3,33
Agriculture,2015/9/1,1140.8,34
Agriculture,2015/10/1,1204.5,35
Agriculture,2015/11/1,1378.4,36
Agriculture,2015/12/1,1074.8,37
Agriculture,2016/1/1,1112.9,38
Agriculture,2016/2/1,1037.8,39
Agriculture,2016/3/1,966,40
Agriculture,2016/4/1,1317.9,41
Agriculture,2016/5/1,1184.2,42
Agriculture,2016/6/1,677.7,43
Agriculture,2016/7/1,677.5,44
Agriculture,2016/8/1,530.9,45
Agriculture,2016/9/1,487.5,46
Agriculture,2016/10/1,660.5,47
Agriculture,2016/11/1,996.9,48
Agriculture,2016/12/1,1292.2,49
Agriculture,2017/1/1,1116.9,50
Agriculture,2017/2/1,964.5,51
Agriculture,2017/3/1,1015.7,52
Agriculture,2017/4/1,1347.7,53
Agriculture,2017/5/1,746.7,54
Agriculture,2017/6/1,485.2,55
Agriculture,2017/7/1,491.7,56
Agriculture,2017/8/1,617.4,57
Agriculture,2017/9/1,955.7,58
Agriculture,2017/10/1,1006.4,59
Agriculture,2017/11/1,1133.9,60
Agriculture,2017/12/1,2116.3,61
Agriculture,2018/1/1,1266.1,62
Agriculture,2018/2/1,1168.4,63
chemical industry,2012/12/1,1547.4,1
chemical industry,2013/1/1,1830.6,2
chemical industry,2013/2/1,1694.2,3
